R,mu,minDimension,axisDistance,sidesExposed
30,0.2,200,25,MoreThanOneSide
30,0.5,200,25,MoreThanOneSide
30,0.7,200,32,MoreThanOneSide
30,0.7,300,27,MoreThanOneSide
60,0.2,200,25,MoreThanOneSide
60,0.5,200,36,MoreThanOneSide
60,0.5,300,31,MoreThanOneSide
60,0.7,250,46,MoreThanOneSide
60,0.7,350,40,MoreThanOneSide
90,0.2,200,31,MoreThanOneSide
90,0.2,300,25,MoreThanOneSide
90,0.5,300,45,MoreThanOneSide
90,0.5,400,38,MoreThanOneSide
90,0.7,350,53,MoreThanOneSide
90,0.7,450,40,MoreThanOneSide
120,0.2,250,40,MoreThanOneSide
120,0.2,350,35,MoreThanOneSide
120,0.5,350,45,MoreThanOneSide
120,0.5,450,40,MoreThanOneSide
120,0.7,350,57,MoreThanOneSide
120,0.7,450,51,MoreThanOneSide
180,0.2,350,45,MoreThanOneSide
180,0.5,350,63,MoreThanOneSide
180,0.7,450,70,MoreThanOneSide
240,0.2,350,61,MoreThanOneSide
240,0.5,350,75,MoreThanOneSide
30,0.7,155,25,OneSide
60,0.7,155,25,OneSide
90,0.7,155,25,OneSide
120,0.7,175,35,OneSide
180,0.7,230,55,OneSide
240,0.7,295,70,OneSide
